State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,020,689","1,004,461","1,076,411","1,148,539","1,221,511","1,298,323","1,411,276","1,445,953","1,386,190","1,436,828","1,445,642","1,296,524","1,454,611","1,328,293","1,250,179","1,274,516","1,257,808","1,151,662","1,046,959","1,292,838","1,357,156","1,136,610","1,320,155","1,250,606","1,406,384","1,311,336","1,375,045","1,314,790","1,310,536","1,323,209","1,350,262","1,350,461","1,347,558","929,772","1,184,962","1,081,872","1,055,469","926,669","900,852","929,031","775,392","772,290","758,830","721,185","722,774","727,433","740,927","748,745","758,122","783,300","767,419","864,228","1,094,204","1,149,607","1,293,541","1,252,879","977,131","1,079,624","1,095,887","1,014,448","689,464","800,378","802,409","796,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"346,324","336,695","350,135","336,561","336,004","346,925","386,176","418,406","412,031","447,693","496,216","476,892","578,373","550,911","514,487","542,752","548,266","601,876","522,198","597,456","670,980","638,524","694,737","697,958","821,386","734,611","729,419","759,526","696,994","747,397","797,305","700,941","679,062","654,657","690,819","578,143","657,833","785,240","812,969","756,640","621,169","813,161","789,153","792,236","786,209","768,995","783,367","783,017","803,043","800,172","790,889","840,986","826,842","883,260","886,370","776,493","654,493","713,397","781,628","712,235","450,768","440,100","532,353","539,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"18,923","14,150","19,498","24,911","26,914","27,916","23,910","24,208","27,021","27,980","34,671","24,528","26,147","23,002","14,282","9,704","12,090","18,024","25,496","16,371","17,102","29,198","29,671","28,732","29,151","20,978","29,480","40,093","15,705","18,431","17,410","10,056","8,855","8,234","6,945","6,861","5,592","8,090","7,458","8,957","4,316","3,697","4,351","3,307","1,665","3,955","9,591","9,313","5,139","4,296","3,069",840,388,541,"1,474","4,387",617,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"1,586,449","1,493,944","1,638,552","1,832,508","1,963,792","2,037,285","2,212,066","2,380,970","2,400,532","2,597,581","3,017,565","2,869,275","2,910,525","3,057,325","3,248,065","3,440,044","3,479,209","3,513,197","3,266,591","3,639,650","3,703,362","3,960,803","3,760,412","3,285,634","3,997,384","3,831,439","3,877,067","4,152,114","4,011,842","4,220,066","4,414,362","4,054,871","4,112,739","3,962,427","4,107,496","3,910,027","3,860,466","3,940,216","3,832,682","3,502,887","3,270,194","3,326,940","3,098,985","2,809,836","2,845,496","2,973,897","3,000,879","2,872,880","2,927,900","2,616,139","2,556,093","2,623,804","2,193,276","1,940,060","1,869,335","1,486,019","1,041,121","1,015,108","955,471","852,990","571,089","623,427","686,921","677,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,825","30,942","37,765","40,069","40,917","43,844","43,663","45,042","43,348","47,719","50,748","44,366","48,648","43,535","41,115","50,408","50,817","51,958","54,642","51,659","61,534","57,533","42,871","54,763","50,481","54,346","52,440","53,041","38,079","35,541","46,879","38,499","27,892","20,436","21,251","9,438","4,237","4,600","4,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"18,933","19,161","20,781","29,412","28,754","30,627","30,931","33,032","36,626","34,627","40,879","41,613","41,512","40,494","51,320","59,091","65,524","70,349","69,757","62,269","89,500","107,311","93,820","79,120","100,584","74,667","97,659","99,059","82,061","84,480","88,005","95,423","83,956","84,741","92,886","94,134","103,074","103,616","100,208","94,392","110,587","111,689","125,682","124,609","129,130","126,671","122,170","53,756","65,597","53,448","58,798","65,871","54,088","45,290","46,194","45,587","37,859","42,804","30,464","34,661","27,404","30,088","34,497","30,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
