State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"79,173","78,125","78,468","82,421","87,913","85,250","86,062","83,470","84,378","83,888","80,385","85,674","91,157","96,078","96,381","129,034","154,645","153,466","161,709","174,473","205,200","186,114","191,300","206,598","189,705","233,929","203,156","283,122","285,034","455,132","465,821","469,939","493,570","495,319","513,269","542,312","538,746","552,542","550,268","541,315","544,004","525,829","590,170","540,473","554,427","518,963","524,996","528,224","491,932","506,040","549,655","539,366","548,510","569,264","587,753","604,411","617,043","600,736","613,600","617,301","611,226","624,488","633,617","660,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,93,83,69,284,617,529,525,628,999,"1,070",796,652,859,866,904,874,"1,017",752,561,634,"12,205","13,005","12,744","14,322","14,651","14,573","16,641","18,170","19,756","28,153","27,178","26,765","26,202","26,238","23,020","22,171","21,531","19,937","19,091","19,430","17,784","10,241","9,299","11,487","11,680","10,784","11,289","11,350","12,201","12,213","11,494","11,781","11,967","14,827","15,172","15,203","16,893","14,973","14,790","14,258","15,108","16,670","16,920","17,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"31,468","28,369","32,265","33,099","28,030","30,170","30,092","26,821","27,692","27,809","29,841","29,066","27,891","21,665","36,867","47,944","50,439","52,630","34,872","55,866","90,195","97,350","96,480","98,813","110,731","103,984","142,011","147,630","158,302","128,630","121,971","135,837","134,641","138,529","150,450","145,390","154,452","148,246","141,308","143,558","146,321","136,622","149,090","164,786","212,553","245,341","303,354","365,898","436,961","543,494","600,941","650,111","632,378","660,735","665,426","710,147","728,409","761,002","789,399","806,716","739,809","749,385","774,857","782,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"32,388","29,904","31,236","30,959","32,529","33,020","33,565","33,833","33,676","32,048","35,620","36,666","38,130","39,456","43,380","46,157","49,181","38,568","50,743","50,115","47,085","48,758","55,615","61,473","63,613","56,084","61,146","44,931","40,889","59,018","55,796","54,593","49,021","59,217","52,046","64,081","72,208","79,533","72,434","75,764","66,995","55,054","54,490","53,472","56,498","64,817","72,248","66,117","71,339","65,792","72,555","85,405","77,725","72,903","83,504","89,034","89,415","97,489","99,564","95,528","73,525","69,475","80,067","76,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,524,923","1,504,935","1,598,013","1,643,672","1,687,618","1,726,363","1,834,171","1,843,760","1,770,402","1,787,507","1,775,605","1,611,198","1,840,569","1,770,757","1,674,353","1,716,106","1,751,821","1,659,832","1,606,779","1,784,659","1,885,875","1,706,214","1,905,598","1,872,039","2,100,558","2,054,180","2,146,805","2,151,664","2,355,247","2,383,297","2,343,493","2,340,323","2,365,659","1,974,593","2,165,940","2,120,804","1,966,524","1,658,856","1,668,355","1,956,562","1,888,016","1,907,736","1,911,612","1,934,954","1,899,420","1,896,706","1,917,259","1,973,324","1,992,350","2,068,369","2,096,733","2,196,966","2,439,966","2,518,395","2,680,437","2,617,522","2,371,915","2,451,969","2,462,430","2,385,858","2,074,469","2,164,721","2,217,623","2,201,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"440,400","427,206","444,017","429,520","424,496","436,156","471,620","501,148","487,700","519,159","564,780","540,161","642,426","610,751","572,081","598,195","607,995","669,023","592,863","674,084","753,283","721,867","782,347","789,674","911,312","831,939","825,912","854,483","795,943","833,101","872,129","776,850","754,685","720,315","753,986","643,786","717,775","841,797","867,335","809,253","674,288","871,643","851,604","857,091","851,773","837,905","842,404","866,241","946,002","961,038","992,522","1,061,325","1,024,585","1,095,009","1,110,120","1,008,516","895,819","956,595","1,032,876","945,642","667,322","687,442","799,008","808,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"1,358,994","1,362,634","1,415,231","1,444,793","1,467,865","1,486,744","1,534,838","1,534,824","1,471,588","1,489,695","1,492,383","1,437,029","1,418,969","1,371,062","1,326,203","1,259,321","1,241,413","1,194,843","1,269,809","1,214,724","1,175,656","1,118,806","930,664","949,450","1,006,481","1,088,285","1,029,916","1,016,315","1,085,865","1,109,616","1,060,601","1,119,985","1,143,319","1,144,508","1,169,779","1,181,535","1,132,142","1,086,013","1,004,025","908,885","905,908","865,792","833,617","796,702","786,499","751,279","771,638","786,711","825,174","797,412","790,203","758,155","757,591","764,908","809,250","785,445","709,014","713,991","676,915","656,075","629,683","601,940","628,401","614,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"1,827,058","1,712,071","1,854,033","2,055,793","2,197,357","2,270,555","2,436,135","2,608,652","2,617,144","2,798,449","3,208,747","3,052,454","3,082,056","3,221,117","3,418,225","3,596,099","3,643,930","3,661,347","3,428,283","3,793,425","3,843,424","4,107,693","3,912,972","3,430,753","4,166,033","4,011,381","4,049,097","4,301,282","4,163,482","4,371,439","4,556,004","4,204,261","4,264,876","4,110,493","4,240,919","4,043,772","4,001,728","4,069,913","3,960,221","3,622,702","3,397,692","3,457,630","3,244,465","2,956,547","3,005,366","3,134,440","3,161,081","3,034,406","3,113,172","2,804,741","2,770,729","2,831,137","2,384,403","2,120,683","2,052,265","1,665,501","1,214,949","1,193,675","1,129,017","1,022,042","744,011","783,941","862,441","850,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"5,066,112","5,366,296","5,692,599","6,118,492","6,408,290","6,733,987","7,409,292","8,238,870","8,654,093","9,097,934","9,358,093","9,224,533","8,617,101","8,276,311","7,226,422","6,162,377","5,705,547","5,432,860","5,315,113","4,773,172","4,403,760","4,152,387","3,786,731","3,422,307","3,537,172","3,166,360","3,377,900","3,290,383","3,282,121","3,165,107","3,132,466","3,087,431","3,042,223","3,073,739","3,020,881","3,048,210","3,041,485","3,009,835","3,010,829","2,898,947","2,746,409","2,761,293","2,559,795","2,486,714","2,501,030","2,321,934","2,376,258","2,390,799","2,300,506","2,456,635","3,166,761","3,974,355","3,792,696","3,231,342","2,848,533","2,635,481","2,615,474","2,886,147","3,595,802","3,923,026","3,870,559","4,106,891","4,849,485","4,997,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"46,529","56,812","55,955","58,935","63,589","62,370","65,063","67,279","70,388","71,029","72,981","71,814","69,495","108,422","86,149","92,043","97,565","99,962","127,135","137,369","106,648","117,902","111,079","142,738","74,167","128,749","92,488","69,970","72,210","95,902","110,174","105,052","111,077","109,233","107,326","113,682","126,114","110,526","119,201","105,737","119,709","96,843","101,030","94,985","106,387","91,043","96,514","86,736","96,536","97,983","105,755","98,165","103,768","92,138","109,947","100,973","105,810","100,337","96,452","72,236","50,404","52,317","57,635","57,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"51,558","50,296","51,104","59,676","59,767","62,031","64,488","69,667","74,023","71,583","79,988","78,568","81,978","80,753","89,994","147,162","178,356","233,013","225,313","218,659","245,945","269,798","250,567","246,012","272,853","224,569","274,832","240,708","243,560","156,290","135,746","221,978","229,679","251,803","249,461","271,957","279,202","284,512","280,770","274,494","296,948","279,390","279,178","303,708","318,072","312,581","298,439","234,519","251,150","242,070","243,129","256,296","232,358","233,984","235,376","231,445","224,993","235,599","226,589","224,011","212,660","216,070","219,163","217,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"38,883","37,729","37,615","38,725","38,510","37,108","38,863","40,369","41,601","42,215","39,213","38,020","41,968","79,591","83,690","91,379","114,057","106,759","113,825","106,464","152,305","167,175","156,279","181,869","173,885","173,982","167,651","139,838","153,647","203,703","174,473","196,125","190,797","196,058","201,815","139,819","191,582","137,018","126,027","133,593","138,647","127,839","121,672","111,046","114,116","132,727","124,501","130,786","153,013","119,573","131,655","132,020","129,106","133,397","128,505","133,457","114,207","114,175","116,535","114,700","92,357","88,973","87,976","82,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"159,454","182,611","172,970","172,213","169,648","168,968","168,687","165,007","167,906","158,683","157,260","144,012","179,953","204,740","224,171","368,226","461,840","498,532","574,206","618,361","653,355","657,871","627,527","635,300","600,646","557,461","536,331","578,056","606,641","635,704","620,993","692,811","597,225","689,731","548,477","671,276","714,478","711,293","572,901","587,986","655,509","693,427","730,190","671,819","723,602","753,796","716,342","763,203","664,474","545,954","625,559","679,096","619,825","639,818","659,047","643,681","649,985","657,830","641,475","654,474","595,549","647,251","570,920","580,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"28,441","27,142","27,479","26,390","27,218","28,787","28,226","27,954","26,962","27,125","26,493","41,952","66,844","64,734","78,139","137,910","141,024","152,231","169,544","172,728","158,682","162,346","164,756","183,185","149,481","182,547","173,155","173,494","185,809","173,441","182,345","182,384","179,062","188,067","191,731","207,274","198,976","189,644","195,201","223,220","227,344","220,098","238,517","241,518","253,930","260,878","285,403","301,174","322,071","355,242","396,185","388,096","377,997","363,875","410,721","408,679","430,834","432,926","445,412","439,668","425,022","438,329","460,604","428,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"97,647","98,644","95,512","98,089","98,157","105,522","105,037","105,660","97,839","99,729","121,151","111,070","121,548","120,771","121,780","139,026","151,304","160,044","154,360","176,207","136,412","125,974","142,876","135,143","185,425","241,968","208,474","185,464","216,291","188,513","167,083","176,678","171,048","130,990","147,013","122,856","131,444","123,308","119,618","118,756","131,831","121,391","119,517","140,196","125,622","142,177","158,538","161,690","179,462","203,991","191,483","197,028","202,254","193,328","207,453","202,175","194,957","189,244","225,977","210,758","184,312","155,067","211,684","210,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"525,949","542,470","545,190","563,334","556,744","537,412","521,326","511,035","516,649","544,165","542,511","528,345","495,255","461,159","407,660","378,461","375,246","371,398","390,886","403,546","427,539","426,710","409,682","383,837","406,004","423,587","411,509","431,969","436,342","424,510","418,688","454,192","419,139","389,800","378,302","392,487","402,677","431,179","402,163","380,835","421,004","415,224","436,130","465,910","403,362","384,286","395,985","415,561","420,124","457,609","448,125","442,423","391,931","415,809","409,000","420,392","339,166","320,994","312,254","338,607","266,135","322,187","289,681","313,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"246,959","254,618","254,125","247,840","244,366","265,567","282,917","276,368","350,977","360,694","367,103","401,403","418,073","484,658","552,424","671,598","755,766","763,671","751,370","862,180","806,730","894,776","788,020","801,768","870,711","874,679","873,153","860,852","931,145","897,291","895,587","915,650","906,483","849,933","939,342","915,036","897,903","946,961","981,306","954,676","906,847","919,223","907,334","909,456","1,008,216","1,081,846","1,135,855","1,155,645","1,149,027","1,015,290","1,083,717","1,017,385","932,379","1,035,598","1,079,279","1,020,249","814,223","854,036","920,068","848,646","675,642","714,256","723,697","767,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"90,780","86,520","88,160","85,633","89,520","85,689","83,671","83,266","84,154","84,635","80,822","86,337","90,905","93,161","91,169","105,960","125,370","170,433","229,577","210,769","160,635","156,416","206,274","240,799","334,494","313,008","310,992","397,790","404,323","427,700","395,183","413,986","357,978","372,475","475,232","507,926","484,276","467,120","527,515","506,747","522,985","503,867","515,398","559,542","521,965","526,976","528,801","513,836","539,210","543,186","553,898","556,201","542,015","568,039","568,465","573,484","600,195","602,974","611,900","612,292","629,979","632,300","630,530","614,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"189,617","203,814","218,811","223,943","234,903","243,033","270,190","262,780","265,312","246,613","256,029","258,854","257,502","253,906","260,956","270,865","318,736","333,494","374,058","413,252","521,332","566,614","588,794","644,065","694,255","752,575","684,262","661,334","704,528","677,756","677,585","674,405","683,870","681,124","666,255","641,590","657,016","677,611","676,857","678,416","676,324","662,043","662,287","655,239","656,343","680,454","712,257","753,272","857,465","991,838","1,208,383","1,465,539","2,084,191","2,579,745","3,194,676","3,613,114","3,429,378","3,615,417","4,148,057","4,629,742","4,191,130","4,217,397","4,107,720","4,491,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"162,249","165,702","167,635","148,751","130,599","117,921","97,962","93,073","91,836","84,141","79,603","69,169","62,205","60,537","93,325","110,629","110,612","125,583","129,507","141,003","112,471","116,874","149,711","116,081","114,350","99,899","137,775","139,150","120,485","134,743","124,747","129,264","136,677","117,190","113,934","139,927","163,985","169,302","159,911","178,350","165,633","171,657","185,965","167,896","208,164","195,462","204,132","257,245","289,496","288,270","400,708","370,291","337,622","346,751","404,483","410,580","413,441","401,541","390,499","408,290","359,839","398,080","396,420","401,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"15,540","14,720","15,416","15,334","15,585","14,607","15,750","15,648","16,739","17,690","16,544","17,008","17,285","19,416","18,395","17,107","20,502","21,410","23,145","25,139","25,219","26,481","24,959","28,591","26,181","25,853","29,882","27,618","28,788","31,154","76,857","100,923","114,946","127,746","95,109","118,070","137,736","114,990","117,740","119,957","111,548","114,108","118,236","117,590","132,365","128,120","121,220","139,517","127,024","126,512","149,311","123,087","121,505","155,880","150,820","150,207","159,138","153,026","150,485","158,577","135,392","135,611","148,297","132,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"20,187","20,614","21,038","23,285","23,810","23,912","24,491","25,111","27,067","29,200","66,677","70,259","78,075","71,698","76,078","67,499","79,387","114,625","132,240","116,985","133,546","184,811","206,230","130,932","111,371","240,152","199,801","277,764","296,652","280,312","277,434","295,883","264,556","298,730","272,613","219,703","156,903","185,092","323,296","342,452","338,189","347,027","350,805","335,954","309,241","347,114","361,266","355,767","358,898","391,326","377,360","386,113","382,208","388,539","371,803","380,655","345,964","386,289","365,992","308,762","315,380","330,343","335,971","335,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"1,558,406","1,579,587","1,582,891","1,614,341","1,737,603","1,840,029","1,930,714","2,035,433","2,160,437","2,153,581","2,202,421","2,199,993","2,209,238","2,147,406","2,158,349","2,099,688","2,115,479","2,095,650","2,076,653","2,134,070","2,111,345","2,079,192","1,934,316","1,849,725","1,967,785","1,945,337","1,688,951","1,768,973","1,772,566","1,841,556","1,972,033","2,004,367","2,304,298","2,530,506","2,618,451","2,677,574","2,587,683","2,657,867","2,585,923","2,565,340","2,717,322","2,768,686","2,705,673","2,683,703","2,721,262","2,736,347","2,630,404","2,511,618","2,456,435","2,389,991","2,235,402","2,238,537","2,292,461","2,350,565","2,546,634","2,661,708","2,535,550","2,782,064","3,397,240","4,299,837","4,666,854","5,462,319","6,785,798","7,651,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"7,814","7,786","8,458","7,734","7,924","7,529","8,801","8,441","8,489","8,097","7,531","7,450","6,965","7,268","7,260","7,676","7,465","10,858","14,107","15,053","15,959","13,681","12,262","22,793","34,668","37,045","36,712","28,850","28,200","30,731","35,480","35,205","36,513","27,285","25,679","24,002","23,486","25,519","25,839","24,168","22,538","21,025","19,671","17,484","17,762","17,524","18,671","18,603","19,069","22,020","22,992","23,149","25,424","29,142","29,491","32,473","37,841","41,560","45,171","49,042","49,345","54,373","63,120","65,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"116,112","134,886","142,906","144,005","137,682","146,366","156,120","165,778","171,249","178,634","205,343","226,369","233,782","248,886","274,225","314,013","355,032","399,132","430,114","406,577","451,058","445,280","398,380","449,987","481,561","518,864","489,545","475,353","482,540","470,501","472,070","512,330","480,126","524,403","545,653","509,293","629,073","611,422","606,824","655,057","608,069","642,212","646,325","656,041","671,663","695,627","695,915","698,492","724,352","682,589","664,300","685,521","646,760","698,377","685,028","713,269","676,933","694,054","701,635","727,134","630,426","550,994","510,897","516,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"901,722","862,268","908,885","973,914","1,043,609","1,074,380","1,165,621","1,218,933","1,285,725","1,361,145","1,453,181","1,379,853","1,386,930","1,225,197","1,192,479","1,208,127","1,228,556","1,283,103","1,195,125","1,278,834","1,227,768","1,234,500","1,220,753","1,217,430","1,371,078","1,258,405","1,240,700","1,283,917","1,256,035","1,253,491","1,231,532","1,162,874","1,153,596","1,034,502","1,092,906","1,046,990","1,069,571","1,092,534","1,054,445","922,646","926,423","947,528","796,045","802,228","909,534","931,886","906,549","901,650","1,047,362","1,043,658","1,041,197","1,078,635","1,069,525","1,147,093","1,547,291","2,079,830","2,412,808","2,696,660","3,354,513","3,588,942","3,189,529","3,023,669","3,023,666","3,001,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"2,064,976","2,133,145","2,371,393","2,552,760","2,654,131","2,656,678","2,809,522","2,910,692","2,855,237","3,026,480","3,110,507","3,139,631","3,249,598","3,100,717","2,906,472","2,763,899","2,879,243","2,977,913","2,954,034","2,982,576","3,090,098","3,277,102","3,235,049","3,030,342","3,364,185","3,264,100","3,157,479","3,185,321","3,246,150","3,216,314","3,205,832","3,070,286","2,901,480","2,907,807","2,761,888","2,590,762","2,508,095","2,431,482","2,359,691","2,254,071","2,258,241","2,274,107","2,203,097","2,167,161","2,290,083","2,257,863","2,331,205","2,420,421","2,555,666","2,573,866","2,545,982","2,704,908","2,965,677","3,111,672","3,644,121","3,934,929","3,877,790","4,024,454","4,650,636","4,940,933","4,265,640","4,010,415","4,283,119","4,393,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"98,889","98,494","102,510","102,818","110,005","114,175","115,562","117,729","128,897","153,969","159,510","176,493","181,788","154,643","179,758","175,685","211,292","226,431","203,998","228,888","249,146","273,228","295,715","293,980","317,012","320,343","325,574","277,936","302,194","273,533","266,288","214,212","204,949","170,724","155,799","187,887","207,833","214,187","184,590","199,623","178,689","152,221","166,275","159,025","162,534","155,829","181,282","171,848","180,808","184,633","181,274","221,557","219,406","214,098","223,597","214,078","223,605","240,238","237,603","217,816","215,590","204,632","210,222","192,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"2,377,898","2,250,864","2,290,788","2,489,398","2,580,301","2,625,109","2,611,268","2,542,098","2,432,771","2,471,118","2,524,150","2,288,348","2,323,595","2,262,664","2,395,495","2,589,489","2,683,248","2,647,814","2,618,724","2,808,654","2,749,125","2,586,088","2,497,864","2,251,209","2,555,817","2,436,744","2,558,675","2,461,492","2,519,988","2,540,308","2,714,752","2,554,138","2,689,243","2,414,362","2,557,295","2,526,881","2,748,584","2,883,808","3,017,017","3,024,840","2,978,664","2,932,238","2,788,069","2,642,543","2,715,502","2,682,430","2,654,791","2,664,316","2,735,862","2,657,146","3,051,085","3,848,782","4,712,839","5,847,963","7,108,292","7,443,336","7,756,951","8,100,457","8,992,467","9,611,946","9,472,245","10,128,880","9,957,413","10,101,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"2,888","2,953","3,100","3,195","3,505","3,549","3,757","4,113","4,233","4,402","5,245","4,842","4,893","5,076","4,991","4,026","4,682","5,270","6,550","7,101","7,279","6,644","6,029","7,379","4,933","5,081","4,653","3,302","3,528","3,771","4,429","4,515","4,770","5,116","5,001","5,015","5,490","4,295","4,137","4,360","4,486","3,875","3,673","3,745","3,807",831,"2,570","2,731","2,913","3,517","3,662","3,568","2,848","2,580","4,200","4,623","4,246","4,660","5,010","6,330","7,974","7,803","8,605","8,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"55,439","52,845","51,541","50,928","57,323","53,466","50,270","47,639","50,503","51,519","48,899","80,106","105,866","123,847","179,009","271,229","256,771","245,107","274,462","262,272","239,930","234,440","197,713","332,341","309,886","391,741","457,760","490,444","509,722","514,296","536,814","537,757","564,521","575,046","558,438","617,512","568,352","583,208","617,273","616,471","612,759","582,885","628,071","604,642","615,191","639,394","618,564","646,899","630,333","633,662","643,668","661,271","646,982","681,793","669,503","669,290","701,697","688,990","676,743","712,780","700,528","686,639","696,855","705,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
