State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,192","5,208","4,192","2,113","1,139",112,"1,431","2,725","2,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"21,035","17,977","19,203","17,056","14,185","13,336","13,037","9,275","7,898","6,852","8,745",926,"2,226","3,008","2,622","2,600","2,823","1,816","2,050","2,926","3,043","2,454","2,155","1,874","2,828","2,477","3,463","2,554","1,475","1,657",844,662,534,504,485,481,414,563,326,289,263,239,250,244,242,234,236,"1,479","1,266","1,503","2,191","3,600","2,148","2,933","2,044","2,210","2,317","2,260","2,596","2,279","1,948","1,734","2,128","2,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,344,384,286,288,201,240,216,199,235,172,154,540,357,275,175,343,190,181,161,467,595,361,257,136,397,370,368,219,418,423,406,235,176,194,108,252,364,532,626,870,921,"1,090","1,319","1,591","3,432","3,191","2,971","3,685","4,762","5,001","6,884","9,184","8,920","8,057","6,742","7,446","6,441","6,168","5,292","5,306","4,419","4,291","4,035","4,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"678,064","693,747","742,131","783,381","821,110","847,972","905,812","931,972","893,050","943,927","961,882","953,126","959,436","957,935","948,244","901,024","882,292","836,512","908,607","859,880","800,648","699,402","480,945","493,993","523,978","574,293","516,162","540,015","635,801","648,030","623,582","702,774","719,297","750,032","787,433","800,089","785,499","746,621","669,630","624,330","595,401","544,550","522,294","479,745","456,781","432,051","424,422","414,251","427,313","399,685","370,711","355,019","334,965","321,465","317,646","318,548","281,646","257,200","237,402","212,665","189,066","178,247","173,370","160,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"86,555","81,508","80,708","85,756","88,888","90,745","87,942","102,456","102,291","93,420","89,500","84,240","74,958","72,452","81,924","69,593","75,198","69,108","80,088","66,612","70,261","72,071","64,115","57,455","73,527","85,912","90,438","76,072","80,290","77,855","81,884","86,641","88,467","95,196","81,187","85,908","89,454","87,385","88,260","82,925","87,130","86,962","94,052","92,879","100,915","97,907","101,101","100,611","121,259","121,695","145,590","134,060","118,611","106,732","105,319","108,080","102,591","101,295","96,085","89,339","101,230","86,387","97,155","102,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"2,937,821","3,187,055","3,333,534","3,650,770","3,826,057","4,034,128","4,469,217","4,908,923","5,326,542","5,837,384","5,952,565","5,927,955","5,554,664","5,521,179","4,858,224","4,136,299","3,877,873","3,761,422","3,766,158","3,395,612","3,098,980","2,926,566","2,622,320","2,305,874","2,373,882","1,989,324","2,080,228","2,008,712","2,034,921","1,974,657","1,961,806","1,921,548","1,932,664","1,945,856","1,965,457","1,974,889","1,919,301","1,898,843","1,876,206","1,881,926","1,781,087","1,791,678","1,650,962","1,599,277","1,609,900","1,514,680","1,571,921","1,577,182","1,562,562","1,731,327","2,419,335","3,233,225","3,052,087","2,463,608","2,068,200","1,916,410","1,893,803","2,238,355","2,942,607","3,330,380","3,311,343","3,552,256","4,239,812","4,423,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"4,154","3,657","2,526","1,669","1,411",417,711,635,883,"1,000",831,219,249,304,136,94,76,83,91,29,69,57,37,32,62,40,21,45,30,35,23,30,34,28,27,23,138,122,65,18,35,33,23,50,35,48,50,36,29,45,44,35,46,33,21,40,36,34,14,14,10,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"23,055","30,714","32,145","36,428","34,996","38,323","37,837","37,248","44,890","40,102","43,083","29,425","37,964","47,617","72,733","107,866","130,854","148,972","171,035","186,652","189,261","180,676","180,025","163,543","168,038","152,610","149,614","168,458","168,783","178,502","191,583","214,848","213,376","221,748","238,845","253,681","259,737","320,928","293,186","292,056","311,910","288,366","285,789","248,982","271,801","270,311","271,909","274,595","161,842","160,080","137,245","143,529","135,076","129,758","120,152","114,061","108,450","102,619","95,841","90,423","81,534","79,526","74,816","72,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
